example_id,customer_tweet_id,customer_text,human_label,escalate_gold
APPLE-GOLD-026,396986,@115858 iOS 11.0.2 battery life is terrible! Down 20% and I’ve had my phone unplugged for 1 hour. #ios1102 #fixit #disappointed #wtf,2,
APPLE-GOLD-027,1478082,"IOS 11 is really pissing me off! The battery has completely destroyed my iPhone.
I also just found this glitch on the App Store.@128100 @115858 @175600 https://t.co/NQttnPexkd",2,
APPLE-GOLD-028,1159176,@AppleSupport Yes..still battery runs out too quickly,1,
APPLE-GOLD-029,1544099,@115858 We HATE your update!!!! My phone is a slow POS and my battery dies so fast!,2,
APPLE-GOLD-030,1174790,@AppleSupport None of that is new to me. Battery was fine (only a few months old after being replaced) prior to iOS 11 and now it drains extremely fast.,2,
APPLE-GOLD-031,1173988,Can @AppleSupport help me please as I have a black screen!!,1,
APPLE-GOLD-032,1771174,@AppleSupport when is the software update gonna come out?,2,
APPLE-GOLD-033,596869,@AppleSupport estaba muy feliz con mi iphone hasta que por error instale el ios 11. Pensando que podia mejorar instale también las siguientes actualizaciones pero nada mejoró.. ahora mi móvil es lento y consuma mucha batería. Que solución tengo?,2,
APPLE-GOLD-034,1457410,@115858 im still seeing boxes as emojis after my update 😕,2,
APPLE-GOLD-035,2451350,@AppleSupport It was this way before the iOS 11 update,2,
APPLE-GOLD-036,851699,@AppleSupport My IPhone has been frozen for over 12 hours with a message from 81 days ago... it won't shut down or anything. what do I do?,2,
APPLE-GOLD-037,441366,"@219683 @AppleSupport Its Probally IOS 11 Mines Been Hot Mess Since Then,They Still No Fixy,&amp;I Refuse To Pay For A New Iphone (X) Till I Know IOS11 Works,Also When New One Came Out Ironically Now Apple Said On Phone,Mine Might Be Defective,That 2 Since April",2,
APPLE-GOLD-038,864042,how can I downgrade to iOS 10? @AppleSupport,2,
APPLE-GOLD-039,2518676,Hey @115858 @AppleSupport your update turned my iPhone into a paperweight. Much appreciated 👌🏻,2,
APPLE-GOLD-040,2122496,What’s the deal with this update @115858 ?! I’m getting so frustrated with this keyboard ! damn near about to just use my trap phone ass Droid .. whoa I️ can still type? Aww shit I️ think I️ got upgraded ayyyyyyyyyyyyyy!  #TheBrightSide,2,
APPLE-GOLD-041,1503035,This whole I️ glitch needs to stop @AppleSupport,2,
APPLE-GOLD-042,2177321,"my phone is screwed up because I haven't updated it, but when I try to update it says it's ""unable to at this time"" Not a storage issue either. @115858",2,
APPLE-GOLD-043,2065882,@115858 fix the bugs in your new update for iOS 11 please,2,
APPLE-GOLD-044,2063474,I still can't get the iOS update..... annoyed @AppleSupport @115858,2,
APPLE-GOLD-045,2890781,"@AppleSupport Hi, I installed High update a few days ago, started up this morning, opened mail, pages, iTunes was updating iPhone and it's just froze, beachball not present now, there was a  strange ""screenshot"" skeleton on desktop.
Turned off and rebooted several times, goes back to frozen",2,
APPLE-GOLD-046,610313,@AppleSupport ios 11 fucking sucks it broke my phone,2,
APPLE-GOLD-047,2049902,"@AppleSupport depois q eu atualizei pro ios 11 a bateria ta durando menos, os aplicativos estão travando muito, wifi liga sozinho, entre outros bugs",2,
APPLE-GOLD-048,1805438,@AppleSupport This bug has been a pain in the butt for the past 2 years for the Chinese version of iPhones. Please have some look into it. https://t.co/uc9cCQPNS0,2,
APPLE-GOLD-049,2978150,@AppleSupport How to update a telecom company,OTHER_OR_AMBIGUOUS,
APPLE-GOLD-050,1639020,"@AppleSupport 11.0.3
Thanks for feedback
But ios 11 still doesn’t work well...
(Apple tv,wifi,music and other shortcuts...and so much Frozen)",2,
APPLE-GOLD-051,2364481,"@AppleSupport @682657 Same happened to me and I tried to install the update through itunes and the massage pop out ""there was a problem downloading the software for the iphone, the requested source was not found"" just one step to through it from the window !!",2,
APPLE-GOLD-052,1906045,New @115858 update completely ruined my phone 😡😡,2,
APPLE-GOLD-053,387513,Wish this update wouldn’t have screwed my phone up so much @115858,2,
APPLE-GOLD-054,649753,@AppleSupport Is there a way to prevent my iPhone from downloading the iOS 11 update over and over again? It eats up my bandwidth and storage space on device. I _really_ don't want to install iOS 11 yet.,2,
APPLE-GOLD-055,310819,@AppleSupport @AppleSupport iOS 11.0.1,OTHER_OR_AMBIGUOUS,
APPLE-GOLD-056,2487094,"Hey @AppleSupport, I thought the newest iOS updates was supposed to fix the ""i-bug"" :/ https://t.co/wgEuyNUFAX",2,
APPLE-GOLD-057,2025064,Ok so I’ve been on iOS 11.1 for almost a week now and I’m still seeing the upside down question mark thingies.  What gives? @AppleSupport https://t.co/8oaX456Fft,2,
APPLE-GOLD-058,1345650,@AppleSupport 6s. iOS 11.1 beta 5,OTHER_OR_AMBIGUOUS,
APPLE-GOLD-059,1637113,Hey @115858 I️ really like the new update with emojis but I️ could do without seeing I️ whenever I️ type I️,2,
APPLE-GOLD-060,1070195,@AppleSupport iOS 11.0.3 It’ll drop out &amp; reconnect after a little while. Phone has been restarted but continues to drop Bluetooth connection on calls,7,
APPLE-GOLD-061,2110910,@115858 why is my iMessage not working bro,5,
APPLE-GOLD-062,1998839,Ive had to reset my phone 6 times already today from this new update and my phone freezing😡😡😡 @AppleSupport,2,
APPLE-GOLD-063,1828593,@AppleSupport Your verification code SMSs aren't being sent.,3,
APPLE-GOLD-064,1707745,@AppleSupport how do you get rid of an Apple ID when you no longer have access to the email account associated with it?,3,
APPLE-GOLD-065,2617033,@AppleSupport It's the backup on the Mac which my friend is locked out of. It's encrypted. It's asking for password to restore from backup. Isn't that the same as the Apple ID password? All data is stored on Macbook locally.,4,
APPLE-GOLD-066,1372482,@AppleSupport Correct Apple ID is used. Still not showing,5,
APPLE-GOLD-067,1912783,"@569762 @AppleSupport Hi, I’m having the same issue here. I can’t access anymore to my laptop. I have the login screen then after a blank screen",2,
APPLE-GOLD-068,2185471,@AppleSupport you goons aren't letting me contact support because my phone is dead and you keep sending it codes.  What the butt?  How is that smart? Two-Factor Authentication DOES NOT WORK when a device isn't operational.,3,
APPLE-GOLD-069,1112131,@AppleSupport why am I locked out of my iCloud account ? 🤔,3,
APPLE-GOLD-070,2041708,@AppleSupport I’m connected to the internet ... this is wrong ... you guys have a bug on your verification servers ... https://t.co/H8ICYJW6wD,3,
APPLE-GOLD-071,2320633,@AppleSupport Locked as in password locked with a 4 code.  She originally had a password on it (1234) which now won't work.  iTunes on any computer doesn't send error messages it just doesn't connect to the iPad or do anything.  The iPad will charge like normal,3,
APPLE-GOLD-072,668550,"@AppleSupport Yes, the two-factor authentication code",3,
APPLE-GOLD-073,2372169,@AppleSupport Downloaded the new OS to my MacBook Air and now iCloud sign in doesn't work an either the MacBook Air or the Mac Desktop. Help?,3,
APPLE-GOLD-074,2817195,"After 3.5 hours, 4 different Apple Tech Support (chat &amp; phone call) and a Supervisor who NEVER called me, I still CAN NOT log-in to ITunes, App Store, etc..  I’ve made My LAST @115858 Product purchase! #IOS11 is destructive!",3,
APPLE-GOLD-075,2467684,@AppleSupport The iPad's password,3,
APPLE-GOLD-076,512470,@AppleSupport It's asking me for a verification code...which I can't get because my device can't sign in.,3,
APPLE-GOLD-077,148072,@AppleSupport how do I sign out my Apple ID account without having to verify my account? I know the password to my Apple ID I just can’t verify my account because I forgot my email password I literally had this since the first iPod Touch came out. I just want to sign out,3,
APPLE-GOLD-078,2631620,How do I fix my disabled Apple ID? @AppleSupport #help 🙏,3,
APPLE-GOLD-079,1104710,"So new #iphone8Plus phone won’t update to iOS 11.03... On Wi-Fi, won’t get pass verification stage. #fail @115858 @AppleSupport",2,
APPLE-GOLD-080,2565681,@AppleSupport Yo I tried calling you about two weeks ago to reset my Apple ID. I can’t use account verification on it because the trusted number is my ex’s. We broke up and not talkin My iCloud has photos of my grandma that just passed and I’m tired of messing with y’all. Wat do,3,
APPLE-GOLD-081,2147778,@AppleSupport why can’t I update my iPhoto with my Apple ID?,5,
APPLE-GOLD-082,407548,@AppleSupport I put in my password; that window disappears; then this window appears and can’t be closed.,3,
APPLE-GOLD-083,2263650,"@AppleSupport Dear Apple, I purchased an Iphone 7 Plus for my 12 year old daughter (Sophie , cc'ed) recently, and the Apple ID rego process just error'ed out. No reason. Nothing. Thanks for nothing.",3,
APPLE-GOLD-084,755749,"@AppleSupport Yes, for my Apple ID but no spot for a code.",3,
APPLE-GOLD-085,601376,"@115858 Macbook’s driving me fucking insane, not old laptop and currently waited 20 mins for the slow ass thing to let me type my password 👍🏻",2,
APPLE-GOLD-086,2517045,"@AppleSupport Many times when I go to upgrade my apps, the circles begin to spin but the apps don’t update. Tonight it did the same but after about 5 minutes (enough time for me to tweet and check App Store status) I then got prompted for password",5,
APPLE-GOLD-087,2128230,My Apple ID gets an activation error @AppleSupport,3,
APPLE-GOLD-088,1643277,@AppleSupport I don’t want my kid downloading a ton of free apps but I don’t want to have to put my password in every 2 minutes. 😠,5,
APPLE-GOLD-089,1192293,"@AppleSupport my old iPad 2 suddenly asked to reactivate whilst in use, is this normal? I've never had a device suddenly ask for my login to reactivate before. As it's an older device on an old version iOS I'm concerned it has been compromised and reluctant to enter my details.",3,
APPLE-GOLD-090,2193420,@AppleSupport It says “could not sign in”,3,
APPLE-GOLD-091,1143523,@AppleSupport can't sign in2 iTunes Store becuz Apple ID email does not exist Yahoo deleted it for inactivity yrs ago n phone logged me out?,3,
APPLE-GOLD-092,586933,@AppleSupport I reset my Face ID and some apps no longer work. Doesn’t offer me to login with Face ID. How can I fully erase Face ID and restart so ALL apps ask if I want to use it?,2,
APPLE-GOLD-093,2082203,@AppleSupport I really need help with my appleID..,3,
APPLE-GOLD-094,2901966,@AppleSupport So that will make a iCloud back up,4,
APPLE-GOLD-095,334142,@AppleSupport I recently switched and my music has the iCloud buttons,4,
APPLE-GOLD-096,2008188,Smh @115858 can’t even restore my new phone 🙄🙄🙄,4,
APPLE-GOLD-097,1221984,"@AppleSupport still getting this rubbish trying to restore, to gain some much needed space 😡 wtf! https://t.co/0yzeVhItTh",4,
APPLE-GOLD-098,2627781,@AppleSupport Can I pay annually for icloud storage?,6,
APPLE-GOLD-099,243052,@AppleSupport I swear y’all make things so difficult 😭 why can’t you use iCloud music and add you’re own music? That’s so gah damn dumb 🙃😒,4,
APPLE-GOLD-100,2349399,"@AppleSupport I’ve purchased extra iCloud space, but I keep getting message that backup hasn’t occurred in over 14 weeks. Usually connected to WiFi and power when backup should occur. https://t.co/YzIjI8OUTS",4,
APPLE-GOLD-101,1849306,"Dear @AppleSupport, why has iMessage suddenly stopped working on my daughter’s iCloud account??? https://t.co/qX7NBrZMZa",5,
APPLE-GOLD-102,2379285,@115858 my icloud fucc’d up. send help.,4,
APPLE-GOLD-103,94797,@AppleSupport is there a way to restore deleted texts🤦🏼‍♂️,4,
APPLE-GOLD-104,1978707,"@AppleSupport Nope. iCloud has only 9 contacts synced.  That’s why I don’t use your stuff, besides the iPhone 😂😂😂",4,
APPLE-GOLD-105,2255370,@AppleSupport I had to sync it from my computer. but yes I did restart it. is there a way to not have to plug my phone into my computer to get my downloads?,5,
APPLE-GOLD-106,1441507,@AppleSupport Trying to back up my iPhone 6s on iOS 10.2.1,4,
APPLE-GOLD-107,2012370,@AppleSupport @118936 when will iCloud Drive support iPhone X ?????its not letting me install https://t.co/LGP5u2Ez2x,4,
APPLE-GOLD-108,1682433,@AppleSupport iCloud photos backup vanished.,4,
APPLE-GOLD-109,1161751,"@AppleSupport * wasn’t really asking for support, sry. It appears to be an unresolved system or iCloud bug https://t.co/SImnJgoTIc",OTHER_OR_AMBIGUOUS,
APPLE-GOLD-110,1645942,Dear @AppleSupport iOS11 gettin' 2 me! Can we downgrade bac to 10.3.3! My i6+ device not happy wit iOS11 (11.0.3) full restore! Any help! https://t.co/sqKYKXY7EG,2,
APPLE-GOLD-111,242508,"@AppleSupport iOS 11, iCloud Photo Library turned on yes",4,
APPLE-GOLD-112,1674795,yo @AppleSupport do i need an itunes account to backup and restore my iphone?,4,
APPLE-GOLD-113,2756126,"@AppleSupport 1st issue I had an ongoing case with senior support (sent diagnostics and files several times) before they stopped contacting - devices won’t back up to iCloud. Restored phone and iPad several times, back up would work for a few days then stop working again. https://t.co/QrFmLR9nW9",4,
APPLE-GOLD-114,101255,"@AppleSupport I forget account and pasword icloud,",3,
APPLE-GOLD-115,1288934,"@AppleSupport Thanks, it’s an iPhone 6 and the update is iOS 11.0.3. I don’t normally have a problem with updates, I’ve got 2.3gb of storage left.",OTHER_OR_AMBIGUOUS,
APPLE-GOLD-116,2302121,@AppleSupport trying to backup and it sits on this screen for about 30s then stops. Have restarted and tried different networks. Any ideas? https://t.co/fFUoa14kIr,4,
APPLE-GOLD-117,1235052,@AppleSupport Hi again. Back up complete.,OTHER_OR_AMBIGUOUS,
APPLE-GOLD-118,503660,"@AppleSupport also, I wasn't able to restore anything from my old device to my new one!!! How great!!",4,
APPLE-GOLD-119,2502088,@AppleSupport I've DM'd you guys for help with my screen being non-responsive and having to do multiple hard reset to get it back up and going and no one got back with me. Still waiting on help with that.....,1,
APPLE-GOLD-120,1341743,@AppleSupport do you have a solution? I don't use iCloud.,OTHER_OR_AMBIGUOUS,
APPLE-GOLD-121,1349533,@AppleSupport Hey :) Somehow all items in my reading list are gone. Is there a way to restore them?,5,
APPLE-GOLD-122,2975695,@115858 Why does my iPad keep asking me to sign into iCloud every 30 seconds but when I put in my NEWLY changed password it tells me it is incorrect!!! WTF...I can't even use it right now!,3,
APPLE-GOLD-123,1414563,@115858 #iCloud is eating up my CPU! (All updates installed),4,
APPLE-GOLD-124,1556351,@AppleSupport was my iCloud photo library supposed to automatically transfer to my new iPhone when I signed into icloud? It didn’t.,4,
APPLE-GOLD-125,2831781,@AppleSupport Supposed to be a free app,5,
APPLE-GOLD-126,869934,@AppleSupport Yes. And I can’t download apps from the App Store either.,5,
APPLE-GOLD-127,2293529,"@AppleSupport Definitely on several apps, twitter just stops loading, ebay says network error despite wifi signal showing, as soon as i turn wifi off and on it starts working again",7,
APPLE-GOLD-128,870320,@AppleSupport Just the iMessages app,5,
APPLE-GOLD-129,1773715,Every time I go to type a long ass message to someone my text app crashes and I lose the whole fucking message I spent typing. @115858 FIX UR SHIT.,5,
APPLE-GOLD-130,2360371,"@AppleSupport How do I get to the Chat support for Apple Support? I need to leave a feedback for an app, but it's now impossible to do now that the App Store is no longer part of iTunes. Without this feature, some flawed games may go away unscathed.",5,
APPLE-GOLD-131,2080084,FIX MAIL APP IN IOS 11.1 @AppleSupport,5,
APPLE-GOLD-132,1339818,"#ios11 Chaos
Bei niedriger Bandbreite bleibt der Download von Podcast einfach stehen
@AppleSupport https://t.co/ZYPUPFc7b3",5,
APPLE-GOLD-133,1769088,@AppleSupport I need help with my email app,5,
APPLE-GOLD-134,1835040,Ever since iOS update I try to open an app and my 7+ freezes for several minutes. Also my passcode doesn’t appear. @AppleSupport,2,
APPLE-GOLD-135,513640,@AppleSupport All apps up to date,OTHER_OR_AMBIGUOUS,
APPLE-GOLD-136,2053698,@AppleSupport can I go ahead and press “install now”? The feedback is not positive. 😬 https://t.co/o9ASn6XBdY,2,
APPLE-GOLD-137,27331,@AppleSupport force touch for app multitask gone in iOS11 ?,2,
APPLE-GOLD-138,1784635,"So i have this paid app that I reinstalled and is stuck on the “waiting” status. Did all troubleshooting, still nothing. Damn @115858!",5,
APPLE-GOLD-139,1566006,@AppleSupport It was a apple store online purchase,8,
APPLE-GOLD-140,1689939,@4305 the most affected app (for me) by the new #ios11 update. And a whole lotta others @115858. Everything hangs. #googlekeyboard,5,
APPLE-GOLD-141,2477579,@AppleSupport Issues with iPhone X. Refreshing apps a couple of times a day it just spins round and end up turning wifi off then on again to fix. Sound on some calls very muffled at other end. air pods just stopped playing back twice in ten minutes this morning.,7,
APPLE-GOLD-142,845860,#ios1103 won't install... Congrats @115858,2,
APPLE-GOLD-143,2686642,"@AppleSupport ah, no, only from iTunes Music, and not by any other outside source. thanks",5,
APPLE-GOLD-144,637529,@AppleSupport my apple music won’t let me download songs,5,
APPLE-GOLD-145,1706171,@AppleSupport since updating to iOS 11.0.3 my iPhone 6s freezes constantly and takes multiple attempts for apps to open up,2,
APPLE-GOLD-146,856131,@AppleSupport when I tap it nothing happens. restarting does nothing. i went to itunes and it said I hadn’t bought the song when I did https://t.co/PeNLFGa7Kl,5,
APPLE-GOLD-147,261288,@AppleSupport 7 plus. The Messages app,5,
APPLE-GOLD-148,1328644,"@AppleSupport When I open apps on my phone (namely safari, iHeartRadio, twitter) they will freeze and close. It happens almost every time.",5,
APPLE-GOLD-149,2117295,@AppleSupport  @118721 I have the iPhone X and now none of my playlists are on my Music app! I backed up my old phone and then restored to this new one and I have nothing on here! #help 😡,4,
APPLE-GOLD-150,1905765,@AppleSupport the app store doesn’t work🙄,5,
APPLE-GOLD-151,1939641,"Dear @115858, your latest iOS updates make my iPhone 7 Plus (not even 1yo) &amp; its apps crash like crazy. Too expensive to be driving me NUTS.",2,
APPLE-GOLD-152,514766,@AppleSupport Yes. It also occurs in iTunes on my PC,5,
APPLE-GOLD-153,2683877,@AppleSupport Every app is slow. Tapping on the screen has around 2/3 second delay. Maybe it’s time to upgrade !,2,
APPLE-GOLD-154,1677032,"@AppleSupport Since I did the update, all of my apps are freezing, crashing and being super slow. Also I can’t see certain emojis, random questions marks",2,
APPLE-GOLD-155,686566,@AppleSupport App Store not working for me either,5,
APPLE-GOLD-156,1246410,@AppleSupport Yes! He telling me billing problem,6,
APPLE-GOLD-157,795256,"@AppleSupport when my iPod tells me it’s at 20% I plug it in to charge, when I do that it says it’s at anywhere from 40-80%",1,
APPLE-GOLD-158,982074,@AppleSupport i have seen an apple watch on amazon in sale time and amazon showing it on lowest price and when i orderd they deliver a breaked anlog watch,8,
APPLE-GOLD-159,2297609,my phone won’t charge i’m suing @115858,1,
APPLE-GOLD-160,2676864,@AppleSupport how long does it take for u ups to refund paypal from canceled order,6,
APPLE-GOLD-161,2710931,@AppleSupport Nope it's fully charged,OTHER_OR_AMBIGUOUS,
APPLE-GOLD-162,946785,@AppleSupport I specifically waited until iOS 11.0.3 so a lot of your bugs would be fixed. Now I have to charge my phone all the time,2,
APPLE-GOLD-163,495163,@AppleSupport Thanks guys. Was out coaching kids. Went out on a full charge. Phone in pocket. 1hr 30min. Good job I didn't need it to phone a parent who had forgotten kid because I checked the time and it was on 15% then my alarm for end of session took it 0%. #timeforanewphone,1,
APPLE-GOLD-164,2286947,"@AppleSupport Yes, I have a monthly individual subscription",6,
APPLE-GOLD-165,1920010,@AppleSupport I updated to 11.0 3- now my phone needs to be charged at least twice a day and graphic glitches happen continuously. Fix this?,2,
APPLE-GOLD-166,1338788,"@432271 @55749 @115858 happened to me with my iPhone 6 when it starts losing a lot of charge
Like this,
At 60 percent then 5 minutes later its 40 to 30 percent",1,
APPLE-GOLD-167,1575146,Why TF my phone won't charge @115858,1,
APPLE-GOLD-168,1900860,Hey @115858 after my phone auto updated iOS it has dropped EVERY SINGLE CALL. Fix r send me a refund for a phone that now doesn’t work.,7,
APPLE-GOLD-169,2710486,@AppleSupport I bought a @181575 iPhone X case 3 weeks ago and it blocks the microphone. It happens on every call I make or receive and people complain that they can’t hear me. Can I get a refund?,7,
APPLE-GOLD-170,2241256,@115858 @AppleSupport can I get a refund for #iPhone7Plus ?,6,
APPLE-GOLD-171,382546,"@AppleSupport All connection r Apple branded. I charge from wall outlets at home. Have checked connection is secured, not loose.",1,
APPLE-GOLD-172,2727007,"@AppleSupport ever since i updated my 6s, my battery life is horrible, i have to leave my phone on charge or else it will crash and will not turn on until i plug it in.",2,
APPLE-GOLD-173,2120257,@AppleSupport Yes I have but I canceled my subscription,6,
APPLE-GOLD-174,1582167,"@AppleSupport Yes please, it’s an iPhone 6s and I have the receipt for the charger. What times are available?",8,
APPLE-GOLD-175,2618298,@AppleSupport There’s nothing to be done. It’s just a TERRIBLE design. Easy to lose. Difficult to orient. Not enough buttons for the task at hand. Too small. No charge indicator. Dodgy touch interface that my cat triggers all the time. Just the absolutely WORST remote ever designed.,1,
APPLE-GOLD-176,1736116,@AppleSupport why does my new iPhone 8 plus charge so slow,1,
APPLE-GOLD-177,2072260,@AppleSupport plssss you debited me 9500 for only God knows what. Pls can I get a refund?,6,
APPLE-GOLD-178,926705,"@AppleSupport question, when I charge my AirPods, sometimes only the right ear piece charges while the left one stays dead/changes slow. https://t.co/zoY2Wfmsbf",1,
APPLE-GOLD-179,2619753,"@AppleSupport my wireless Powerbeats 2 won’t charge, help!!!",1,
APPLE-GOLD-180,1973789,Ever since the new iOS my phone has been acting up and won’t charge 😫😫😫😫 @AppleSupport,2,
APPLE-GOLD-181,519191,@115858 You have the worst customer service and treat your customers like dirt. I’m filing a BBB Complaint due to your scam billing practices. On the phone for days and you reps hang up on people!! 4 times today! Horrible,6,
APPLE-GOLD-182,1509387,My shitty iPhone won't charge @115858,1,
APPLE-GOLD-183,1765116,My laptop just died out of no where and won’t turn back on or charge. Help  😭😭😭 @115858 @AppleSupport,1,
APPLE-GOLD-184,2815581,@115858 how do I get past entering in my payment information? I would like to download and update my apps. I’m not letting you charge my card for stupid shit again.,6,
APPLE-GOLD-185,105323,MY AIRPODS CASE WONT ChARGE WTF @AppleSupport,1,
APPLE-GOLD-186,2081530,Still having battery charge issues @115858 @AppleSupport #sodisappointed,1,
APPLE-GOLD-187,1926162,@115858 can you please stop turning my Bluetooth on,7,
APPLE-GOLD-188,927940,@AppleSupport 7 plus. The wifi connection is good,OTHER_OR_AMBIGUOUS,
APPLE-GOLD-189,1166859,@AppleSupport Bluetooth enabled but not connected to any of three as they are off.  Symbol highlighted like it is connected.  Should be light shaded.,7,
APPLE-GOLD-190,925537,"@AppleSupport nah ):
i dont have Wi-fi ):",7,
APPLE-GOLD-191,2805977,@115858 @AppleSupport what is the deal with this weak ass Bluetooth connection problem with the new IPhone 8 Plus that I and others are having?!?! This is sadly just one of the problems...😑,7,
APPLE-GOLD-192,449436,@AppleSupport my Bluetooth doesn’t work,7,
APPLE-GOLD-193,875124,@AppleSupport why does my WiFi not want to stay connected??,7,
APPLE-GOLD-194,431295,@AppleSupport Did you not read the Tweet? Even using Bluetooth is an issue. Things don’t stay connected and when they do it’s intermittent.,7,
APPLE-GOLD-195,488007,@AppleSupport WiFi &amp; 4G,OTHER_OR_AMBIGUOUS,
APPLE-GOLD-196,248204,@AppleSupport why does my phone shut off cellular data when I connect via Bluetooth to my car? It started when I did the 11.2 update.,7,
APPLE-GOLD-197,1170841,@AppleSupport Thanks but this feature defeats the object of turning it off. I don’t need or want the phone looking for a WiFi service when I’ve turned off,7,
APPLE-GOLD-198,246534,Arreglame la batería y el Bluetooth xfi @115858,7,
APPLE-GOLD-199,1391870,"Hey @AppleSupport, feature request: long press to actually turn off Wi-Fi and BlueTooth. Thanks!",7,
APPLE-GOLD-200,2805191,"@AppleSupport my iMac isn’t letting me unlock my WiFi, help",7,
APPLE-GOLD-201,386533,@AppleSupport It’s on! When I try to connect to any network it has only one bar of signal and necer connects. This problem appears after the upgrade,7,
APPLE-GOLD-202,481835,I am no techie but ever since I updated my Mac OS to #HighSierra it does not connect to my Wifi. Anyone else? It takes lots of restarting &amp; rubbing my tummy while patting my head. CC: @AppleSupport for awareness.,7,
APPLE-GOLD-203,2282704,@AppleSupport How do I extract data from it?,OTHER_OR_AMBIGUOUS,
APPLE-GOLD-204,2577054,"@115858 @AppleSupport y'all slipping. Mac mini connected to wifi but no internet, Apple Music won't save offline music, and iPhone bugging. Smh",7,
APPLE-GOLD-205,1822363,@115714 @AppleSupport I’ll tweet praise to the support crew who responds/helps me turn my now iPod back into an iPhone 7...complete w/ internet outside home WiFi,7,
APPLE-GOLD-206,2741928,@AppleSupport It happens with WiFi on and off,OTHER_OR_AMBIGUOUS,
APPLE-GOLD-207,1336315,@AppleSupport Does ‘Your iPhone is reserved’ due to carrier systems mean that I have a phone reserved for store pickup or just for shipping?,8,
APPLE-GOLD-208,1156325,"Hi @AppleSupport,
How much is 9.7inch cellular+wifi IPAD?",8,
APPLE-GOLD-209,2502043,@AppleSupport iMessages. Have reset my phone. And am connected to WiFi,5,
APPLE-GOLD-210,1807480,@AppleSupport I can’t use cellular data at all,7,
APPLE-GOLD-211,1404074,"@AppleSupport Neither. When I say, “hey Siri turn on Bluetooth”",7,
APPLE-GOLD-212,2410241,"Dear @115858 Bluetooth and Wifi DOES drain the iPhone’s battery if they remain on. Please FIX the control center issue… and yes, no matter what you say, it is an issue for costumers. Turning off wifi or bt from here is not working. Fixit, please. https://t.co/h0Ee2XPR1U",7,
