example_id,system,customer_text,draft_reply,human_relevance,human_groundedness,human_tone,human_overall,human_notes
APPLE-GOLD-005,NO_RAG,"@AppleSupport real issues with making phone calls since the update. They can’t hear me I can’t hear them. Battery replaced, still going on!","Thank you for reaching out to us about the issues you're experiencing with making phone calls on your iPhone since the latest update. I'm sorry to hear that the problem persists even after having your battery replaced. Can you please provide more details about the issue, such as the exact update version and any error messages you're seeing? This will help me better assist you.",4,4,4,4,"Acknowledges persistent call-quality issue after battery replacement, asks for update version/errors - relevant but no troubleshooting steps."
APPLE-GOLD-005,RAG,"@AppleSupport real issues with making phone calls since the update. They can’t hear me I can’t hear them. Battery replaced, still going on!","Hi there, sorry to hear that you're experiencing issues with making phone calls since the update. Can you please try switching the call to speaker or plug in a pair of headphones to see if that improves the audio quality? If the issue persists, we'd like to have you update to iOS 11.0.3 and DM us to let us know if the issue continues. We'll go from there.",5,3,4,4,"Offers concrete troubleshooting (speaker/headphones test); the specific 'update to iOS 11.0.3' instruction is a fairly specific claim not clearly supported by anything in the conversation, so groundedness is uncertain."
APPLE-GOLD-232,NO_RAG,"@AppleSupport @115858 4 day wait for an appt at Apple store, 30 minute wait in store only to be told I should have called Apple Support","Hi, sorry to hear about your frustrating experience at the Apple Store. I'd like to help you better. Can you please provide more details about your appointment request, such as the date and time you made the request, and the phone number you used to make the call? This will help me investigate and potentially escalate your issue.",4,4,4,4,"Acknowledges frustration, asks for appointment date/time to investigate - relevant."
APPLE-GOLD-232,RAG,"@AppleSupport @115858 4 day wait for an appt at Apple store, 30 minute wait in store only to be told I should have called Apple Support","Hi @115858, Sorry to hear about the long wait at the Apple Store. We apologize if our support was not helpful. Would you like to start fresh and try contacting us directly? We can assist you with iCloud Photo Library and provide a more personalized solution. Please DM us so we can help you further.",2,1,3,2,"Mentions 'iCloud Photo Library', which is unrelated to the wait-time complaint - looks like a hallucinated/irrelevant detail."
APPLE-GOLD-019,NO_RAG,@AppleSupport Using the charger that came with my phone,"Thank you for reaching out to Apple Support. I'd be happy to help you with your issue. Can you please provide more details about the problem you're experiencing with the charger, such as any error messages or symptoms you're observing?",3,4,4,3,Message reads like a follow-up answer to a prior troubleshooting question; reply asks generic details again without acknowledging context.
APPLE-GOLD-019,RAG,@AppleSupport Using the charger that came with my phone,"We'd like to help with this issue. Can you please tell us what kind of iPhone you have and what iOS version you're currently running? Also, when did you first notice this was occurring?",3,4,4,3,"Similar issue - doesn't build on the fact the customer already answered 'which charger' question, though it does ask more specific follow-ups."
APPLE-GOLD-016,NO_RAG,My battery literally dropped from 100% to 18%. Wtf @115858,"I'm sorry to hear that your battery life has dropped significantly. Can you please provide more details about the situation, such as the device model, software version, and any recent changes or updates you've made? This will help me better understand the issue and provide a more accurate solution.",4,4,4,4,"Relevant, asks for device model, software version, and recent changes - solid clarifying questions."
APPLE-GOLD-016,RAG,My battery literally dropped from 100% to 18%. Wtf @115858,"Hi @115858, sorry to hear that your battery dropped significantly. Can you please DM us your device model and iOS version so we can look into this further? We'll do our best to help you optimize your battery runtime.",4,4,4,4,"Similar relevant follow-up, mentions helping optimize battery runtime."
APPLE-GOLD-079,NO_RAG,"So new #iphone8Plus phone won’t update to iOS 11.03... On Wi-Fi, won’t get pass verification stage. #fail @115858 @AppleSupport","Thank you for reaching out to Apple Support. I'm sorry to hear that your iPhone 8 Plus is having trouble updating to iOS 11.03. Can you please provide more details about the error message you're seeing during the verification stage, and have you tried restarting your device or checking for any available updates in Settings > General > Software Update?",3,3,4,3,"Suggests checking Settings > Software Update, which is circular since that's the exact step already failing for the customer."
APPLE-GOLD-079,RAG,"So new #iphone8Plus phone won’t update to iOS 11.03... On Wi-Fi, won’t get pass verification stage. #fail @115858 @AppleSupport","Hi @115858, sorry to hear that your iPhone 8 Plus won't update to iOS 11.03. We'd be happy to help. Can you please DM us at the link below for further assistance? https://t.co/GDrqU22YpT",3,4,4,3,Provides a DM link but no troubleshooting steps for an update that's already failing.
APPLE-GOLD-069,NO_RAG,@AppleSupport why am I locked out of my iCloud account ? 🤔,I'm sorry to hear that you're locked out of your iCloud account. Can you please provide me with your Apple ID and the last password you tried to enter so I can assist you further?,3,2,2,2,Asking the customer to provide their Apple ID and the password they tried is poor and unsafe advice - real support would never ask for a password.
APPLE-GOLD-069,RAG,@AppleSupport why am I locked out of my iCloud account ? 🤔,"We're sorry to hear that you're locked out of your iCloud account. We'd like to help. Please DM us more details about your experience, such as the last time you accessed your account and any error messages you received. We'll do our best to assist you.",4,4,4,4,Asks to DM with account details without requesting sensitive info like a password - appropriately relevant and safe.
APPLE-GOLD-213,NO_RAG,@AppleSupport Too late. Lost all my data 👎🏼,"Sorry to hear that you've lost your data. Can you please provide more details about the issue, such as the device model, iOS version, and the last time you backed up your data?",4,4,4,4,"Sensible clarifying questions about device, iOS version, and backup status after data loss."
APPLE-GOLD-213,RAG,@AppleSupport Too late. Lost all my data 👎🏼,"Sorry to hear that you lost all your data. We'd like to continue working on this with you. Can you please DM us with more details about your iPhone X setup, including if you had a backup in iCloud or iTunes prior to the switch? We'll do our best to help you recover your data.",3,2,4,3,"Assumes 'iPhone X' as the device, which the customer never mentioned - an unsupported detail."
APPLE-GOLD-081,NO_RAG,@AppleSupport why can’t I update my iPhoto with my Apple ID?,"I'm sorry to hear that you're having trouble updating iPhoto with your Apple ID. Can you please provide more details about the issue, such as the error message you're seeing or the steps you've taken so far? This will help me assist you better.",4,4,4,4,"Relevant, asks for error message/steps taken."
APPLE-GOLD-081,RAG,@AppleSupport why can’t I update my iPhoto with my Apple ID?,"Hi there, We'd be happy to help you update iPhoto with your Apple ID. Can you please tell us what device you're using and what error message you're seeing when you try to update? Best, Apple Support",4,4,4,4,"Relevant, asks for device and error message."
APPLE-GOLD-184,NO_RAG,@115858 how do I get past entering in my payment information? I would like to download and update my apps. I’m not letting you charge my card for stupid shit again.,"I apologize for the frustration with entering your payment information. Can you please provide more details about the issue, such as the exact error message you're seeing or if you've tried clearing your browser's cache? This will help me assist you better.",4,4,4,4,"Stays professional despite the customer's frustrated tone; asks reasonable clarifying questions (error message, cache)."
APPLE-GOLD-184,RAG,@115858 how do I get past entering in my payment information? I would like to download and update my apps. I’m not letting you charge my card for stupid shit again.,"Hi @115858, we're sorry to hear you're having trouble with payment information. Let's try to help you. Can you please DM us so we can assist you further? We'll also direct you to our iTunes Store team for additional support. https://t.co/GDrqU22YpT",4,3,4,3,Redirects to an 'iTunes Store team' link - a specific claim about routing that isn't clearly supported by the conversation.
APPLE-GOLD-200,NO_RAG,"@AppleSupport my iMac isn’t letting me unlock my WiFi, help","Thank you for reaching out to Apple Support. I'd be happy to help you with your iMac issue. Can you please provide more details about the problem, such as when it started and if you've tried restarting your router or modem?",4,4,4,4,Gives an actionable first step (restart router/modem) in addition to asking for more detail.
APPLE-GOLD-200,RAG,"@AppleSupport my iMac isn’t letting me unlock my WiFi, help","Hi there, sorry to hear that your iMac isn't letting you unlock your WiFi. Can you please tell me more about the issue? What happens when you try to connect to your home Wi-Fi network? Are you seeing any errors or messages?",3,4,4,3,"Only asks clarifying questions, no actionable step like the NO_RAG version offered."
APPLE-GOLD-235,NO_RAG,@AppleSupport Another apple store asked my freind 7500 indian rupee for a battery replacement. I hope you take strict action to such incident,We apologize for the inconvenience your friend experienced at our store. We take situations like this seriously and will look into it. Can you please provide the order number or the date of the visit so we can investigate further?,4,4,4,4,"Takes the overcharging complaint seriously, asks for order number/date to investigate."
APPLE-GOLD-235,RAG,@AppleSupport Another apple store asked my freind 7500 indian rupee for a battery replacement. I hope you take strict action to such incident,"We're sorry to hear that your friend was charged an incorrect amount at an Apple Store. We want to get to the bottom of this for you. Can you please DM us with the Apple Store location and the amount they charged, as well as the country you're located in? We'll look into this further and take necessary actions.",5,4,4,4,"Thorough - asks for store location, amount charged, and country, showing it's taking the complaint seriously."
APPLE-GOLD-120,NO_RAG,@AppleSupport do you have a solution? I don't use iCloud.,"Thank you for reaching out to us. Since you don't use iCloud, we can't assist with iCloud-related issues. Can you please provide more details about the issue you're experiencing with your device or service, such as the error message or symptoms you're observing?",3,3,3,3,Somewhat gives up ('we can't assist with iCloud-related issues') before asking what the actual issue is; reads as slightly dismissive.
APPLE-GOLD-120,RAG,@AppleSupport do you have a solution? I don't use iCloud.,"Hi there, we'd be happy to help you with the issue you're experiencing. Can you please DM us and let us know more about the emails you're receiving, such as when they started and what they say? We'll do our best to investigate and assist you.",4,3,4,4,"Infers the issue may be about suspicious emails, which is a reasonable but unconfirmed read of the context."
APPLE-GOLD-167,NO_RAG,Why TF my phone won't charge @115858,"I'd be happy to help you with your concern about your phone not charging. Can you please provide more details about the issue, such as when it started happening and if you've tried any troubleshooting steps? This will help me better understand the problem and provide a more accurate solution.",5,4,5,4,Good but asks for more details instead of giving troubleshooting steps.
APPLE-GOLD-167,RAG,Why TF my phone won't charge @115858,"Hi @115858, sorry to hear that your phone won't charge. We'll do our best to help. Can you please tell us what happened before the issue started, and if you've tried any troubleshooting steps already?",4,4,5,4,Similar generic but polite follow-up asking what happened before the issue and what's been tried.
APPLE-GOLD-006,NO_RAG,@AppleSupport Just received the phone through @115725 it immediately started jumping from screen to screen hitting numbers. Thought it was because Of restore but has cont..,"Thank you for reaching out to Apple Support. I'm sorry to hear that your new phone is experiencing issues. Can you please provide more details about the issue, such as when it started and what you've tried so far to resolve it?",3,4,4,3,Doesn't address the customer's own theory that a restore caused the glitching; generic clarifying questions.
APPLE-GOLD-006,RAG,@AppleSupport Just received the phone through @115725 it immediately started jumping from screen to screen hitting numbers. Thought it was because Of restore but has cont..,"Hi there, sorry to hear that your new iPhone is experiencing issues. Can you please provide more details about the problem, such as when it started and if you've tried restarting or updating the software? We'll do our best to help you troubleshoot the issue.",3,4,4,3,"Suggests restarting/updating software, slightly more actionable than NO_RAG but still generic given the odd screen-jumping symptom.
,,,,,,,,,,"
